Species	Eint	Emed	Emag	Esti	Efla	Efal	Cca	Eac	Ebr	Emax	Emit	Ene	Ete	Epr	Sne	Nca	Tgo	Hha
Ko03015	0.482142857	0.660714286	0.535714286	0.660714286	0.714285714	0.678571429	0.625	0.535714286	0.410714286	0.446428571	0.392857143	0.446428571	0.625	0.214285714	0.607142857	0.660714286	0.625	0.625
Ko03016	0.533333333	0.557575758	0.557575758	0.563636364	0.618181818	0.636363636	0.642424242	0.551515152	0.478787879	0.460606061	0.339393939	0.581818182	0.551515152	0.327272727	0.575757576	0.521212121	0.521212121	0.509090909
Ko03018	0.563636364	0.8	0.690909091	0.745454545	0.745454545	0.745454545	0.727272727	0.6	0.618181818	0.527272727	0.527272727	0.8	0.709090909	0.345454545	0.690909091	0.781818182	0.781818182	0.781818182
Ko03019	0.473214286	0.558035714	0.504464286	0.575892857	0.59375	0.589285714	0.580357143	0.508928571	0.4375	0.424107143	0.370535714	0.5	0.566964286	0.254464286	0.535714286	0.571428571	0.571428571	0.575892857
Ko03020	0.592592593	0.666666667	0.703703704	0.777777778	0.814814815	0.851851852	0.740740741	0.703703704	0.592592593	0.703703704	0.407407407	0.777777778	0.925925926	0.333333333	0.851851852	0.814814815	0.814814815	0.851851852
Ko03021	0.475806452	0.540322581	0.508064516	0.524193548	0.572580645	0.540322581	0.556451613	0.491935484	0.459677419	0.435483871	0.298387097	0.467741935	0.572580645	0.241935484	0.5	0.532258065	0.532258065	0.556451613
Ko03022	0.48	0.48	0.48	0.48	0.48	0.52	0.6	0.44	0.44	0.4	0.28	0.4	0.44	0.28	0.44	0.48	0.48	0.48
Ko03029	0.450777202	0.471502591	0.492227979	0.528497409	0.595854922	0.642487047	0.523316062	0.481865285	0.440414508	0.398963731	0.336787565	0.538860104	0.549222798	0.269430052	0.585492228	0.559585492	0.564766839	0.564766839
Ko03030	0.636363636	0.75	0.727272727	0.75	0.795454545	0.75	0.681818182	0.840909091	0.545454545	0.659090909	0.522727273	0.704545455	0.795454545	0.363636364	0.704545455	0.659090909	0.659090909	0.659090909
Ko03032	0.53	0.61	0.54	0.59	0.67	0.63	0.6	0.64	0.42	0.48	0.41	0.55	0.61	0.32	0.58	0.57	0.57	0.57
Ko03036	0.341409692	0.405286344	0.381057269	0.4030837	0.471365639	0.488986784	0.444933921	0.405286344	0.31938326	0.350220264	0.288546256	0.394273128	0.396475771	0.231277533	0.365638767	0.407488987	0.427312775	0.433920705
